,left_rutting,right_rutting,avg_rutting,event_start,event_end,survey_code,rut_point_x,rut_point_y,iri left (m/km),iri right (m/km),iri,iri_lane,chainage,max_chainage,min_chainage,pic_count,frame_num,frame_num_ch
0,2.08,0.03,1.06,0,5,20240726RUN02,13.85304028354161,100.44380158132739,3.865406539264777,3.4828627603501685,3.6741346498074727,3.5099850461120052,0,6180,0,880,,
1,1.21,0.0,0.6,5,10,20240726RUN02,13.852995888056395,100.44381023000214,3.865406539264777,3.4828627603501685,3.6741346498074727,3.3557482153516767,5,6180,0,880,1,7.0
2,1.95,0.0,0.98,10,15,20240726RUN02,13.852951440434422,100.44381859289754,3.865406539264777,3.4828627603501685,3.6741346498074727,3.7085485219386682,10,6180,0,880,2,14.0
3,1.69,0.0,0.84,15,20,20240726RUN02,13.852906914273223,100.44382650560011,3.865406539264777,3.4828627603501685,3.6741346498074727,4.035523891224493,15,6180,0,880,,
4,2.73,0.04,1.38,20,25,20240726RUN02,13.852862297709654,100.44383386464293,3.547611056116506,3.629723586448253,3.5886673212823794,3.7095514958464153,20,6180,0,880,3,22.0
5,2.68,0.09,1.38,25,30,20240726RUN02,13.852817578271644,100.44384053707677,3.547611056116506,3.629723586448253,3.5886673212823794,3.3585817916745,25,6180,0,880,4,29.0
6,2.29,0.0,1.14,30,35,20240726RUN02,13.85277275869537,100.44384646329635,3.547611056116506,3.629723586448253,3.5886673212823794,3.381753756038706,30,6180,0,880,,
7,2.38,0.0,1.19,35,40,20240726RUN02,13.852727845148072,100.44385159083728,3.547611056116506,3.629723586448253,3.5886673212823794,3.9202830218391025,35,6180,0,880,5,36.0
8,1.5,0.0,0.75,40,45,20240726RUN02,13.852682866203637,100.44385608107295,3.097305452524143,3.022079386010456,3.059692419267299,2.9856356999391114,40,6180,0,880,6,43.0
9,3.24,0.02,1.63,45,50,20240726RUN02,13.852637860805169,100.44386028656974,3.097305452524143,3.022079386010456,3.059692419267299,2.75427460057448,45,6180,0,880,,
10,3.32,0.12,1.72,50,55,20240726RUN02,13.85259284129585,100.4438643305818,3.097305452524143,3.022079386010456,3.059692419267299,3.248792355324598,50,6180,0,880,7,50.0
11,1.83,0.11,0.97,55,60,20240726RUN02,13.852547794550016,100.44386804146905,3.097305452524143,3.022079386010456,3.059692419267299,3.28750653805072,55,6180,0,880,8,58.0
12,1.96,0.0,0.98,60,65,20240726RUN02,13.852502709125142,100.4438712208596,4.105207947256428,3.3772046963093,3.741206321782864,3.905382651399302,60,6180,0,880,,
13,3.1,0.0,1.55,65,70,20240726RUN02,13.852457592145454,100.44387389281685,4.105207947256428,3.3772046963093,3.741206321782864,3.4784479554059424,65,6180,0,880,9,65.0
14,4.27,0.0,2.13,70,75,20240726RUN02,13.852412462656087,100.44387633671104,4.105207947256428,3.3772046963093,3.741206321782864,3.808917987145657,70,6180,0,880,10,72.0
15,1.69,0.0,0.84,75,80,20240726RUN02,13.852367336415364,100.44387884224432,4.105207947256428,3.3772046963093,3.741206321782864,3.7177861559336574,75,6180,0,880,11,79.0
16,2.04,0.0,1.02,80,85,20240726RUN02,13.852322219674766,100.4438815209843,2.856758524703284,2.991037715175761,2.9238981199395226,2.957693351288354,80,6180,0,880,,
