CHAINAGE,LRP_OFFSET,LRP_NUMBER,FRAME,GPS_TIME,X,Y,Z,HEADING,PITCH,ROLL
246.0,246.0,0,37,0,100.45195674127211,13.869094700908828,0,0,0,0
253.0,253.0,0,38,0,100.45195951901394,13.86904958990636,0,0,0,0
259.0,259.0,0,39,0,100.45196223166721,13.869004475139466,0,0,0,0
266.0,266.0,0,40,0,100.45196483462772,13.868959354184517,0,0,0,0
272.0,272.0,0,41,0,100.45196748360654,13.868914235784446,0,0,0,0
279.0,279.0,0,42,0,100.45197040196571,13.868869133360292,0,0,0,0
286.0,286.0,0,43,0,100.45197352641325,13.868824044001487,0,0,0,0
292.0,292.0,0,44,0,100.45197653641284,13.868778947278136,0,0,0,0
299.0,299.0,0,45,0,100.45197926494656,13.8687338334645,0,0,0,0
306.0,306.0,0,46,0,100.45198172056271,13.868688704697844,0,0,0,0
312.0,312.0,0,47,0,100.451983869376,13.868643561003129,0,0,0,0
319.0,319.0,0,48,0,100.45198572229728,13.868598404771854,0,0,0,0
326.0,326.0,0,49,0,100.45198736913633,13.868553240843926,0,0,0,0
332.0,332.0,0,50,0,100.45198908208417,13.868508079285641,0,0,0,0
339.0,339.0,0,51,0,100.45199094463035,13.8684629233744,0,0,0,0
346.0,346.0,0,52,0,100.45199292800773,13.86841777237806,0,0,0,0
352.0,352.0,0,53,0,100.45199520282081,13.868372634573864,0,0,0,0
359.0,359.0,0,54,0,100.45199775237525,13.86832751074286,0,0,0,0
366.0,366.0,0,55,0,100.45200043606854,13.868282394287153,0,0,0,0
372.0,372.0,0,56,0,100.45200317746306,13.86823728114551,0,0,0,0
379.0,379.0,0,57,0,100.45200595588334,13.868192170146155,0,0,0,0
385.0,385.0,0,58,0,100.45200886751226,13.868147067220818,0,0,0,0
392.0,392.0,0,59,0,100.45201201317484,13.86810197932041,0,0,0,0
399.0,399.0,0,60,0,100.45201526081489,13.868056898263385,0,0,0,0
405.0,405.0,0,61,0,100.45201844282114,13.86801181276338,0,0,0,0
412.0,412.0,0,62,0,100.45202150753794,13.867966719521549,0,0,0,0
419.0,419.0,0,63,0,100.45202435271243,13.867921612575998,0,0,0,0
425.0,425.0,0,64,0,100.45202686012146,13.867876486581025,0,0,0,0
432.0,432.0,0,65,0,100.45202901325885,13.867831343098207,0,0,0,0
439.0,439.0,0,66,0,100.45203087970478,13.867786187382944,0,0,0,0
445.0,445.0,0,67,0,100.45203247051423,13.867741021570088,0,0,0,0
452.0,452.0,0,68,0,100.45203393672658,13.867695851700946,0,0,0,0
459.0,459.0,0,69,0,100.4520355293479,13.867650685949332,0,0,0,0
465.0,465.0,0,70,0,100.4520373026092,13.867605526608346,0,0,0,0
472.0,472.0,0,71,0,100.45203920406883,13.86756037222156,0,0,0,0
479.0,479.0,0,72,0,100.45204114686607,13.86751521952819,0,0,0,0
485.0,485.0,0,73,0,100.45204298951901,13.867470062839182,0,0,0,0
492.0,492.0,0,74,0,100.45204462834408,13.867424898659019,0,0,0,0
498.0,498.0,0,75,0,100.45204610922507,13.867379729253614,0,0,0,0
505.0,505.0,0,76,0,100.45204760511899,13.867334560317198,0,0,0,0
512.0,512.0,0,77,0,100.45204918614937,13.86728939413271,0,0,0,0
518.0,518.0,0,78,0,100.4520507311221,13.8672442267689,0,0,0,0
525.0,525.0,0,79,0,100.45205209180992,13.867199053770987,0,0,0,0
532.0,532.0,0,80,0,100.4520532124534,13.867153874491624,0,0,0,0
538.0,538.0,0,81,0,100.45205409105849,13.867108690096437,0,0,0,0
545.0,545.0,0,82,0,100.45205470947653,13.867063501591133,0,0,0,0
552.0,552.0,0,83,0,100.45205511868596,13.867018310779628,0,0,0,0
558.0,558.0,0,84,0,100.4520555032543,13.86697311974496,0,0,0,0
565.0,565.0,0,85,0,100.45205606526763,13.866927930521687,0,0,0,0
572.0,572.0,0,86,0,100.45205681904055,13.866882743942437,0,0,0,0
578.0,578.0,0,87,0,100.45205770827056,13.86683755970075,0,0,0,0
585.0,585.0,0,88,0,100.45205870501458,13.866792377587975,0,0,0,0
592.0,592.0,0,89,0,100.45205979779168,13.866747197616325,0,0,0,0
598.0,598.0,0,90,0,100.45206100654838,13.86670202046347,0,0,0,0
605.0,605.0,0,91,0,100.45206225696275,13.866656844398127,0,0,0,0
611.0,611.0,0,92,0,100.45206337031817,13.86661166494355,0,0,0,0
618.0,618.0,0,93,0,100.45206423062776,13.866566480260492,0,0,0,0
625.0,625.0,0,94,0,100.45206480150091,13.866521291193061,0,0,0,0
631.0,631.0,0,95,0,100.45206506869607,13.86647609944776,0,0,0,0
638.0,638.0,0,96,0,100.45206504795618,13.866430906916408,0,0,0,0
645.0,645.0,0,97,0,100.45206488831727,13.866385714599726,0,0,0,0
651.0,651.0,0,98,0,100.4520652078595,13.86634052484327,0,0,0,0
658.0,658.0,0,99,0,100.45206996149228,13.866295648520273,0,0,0,0
665.0,665.0,0,100,0,0.0,0.0,0,0,0,0
671.0,671.0,0,101,0,0.0,0.0,0,0,0,0
678.0,678.0,0,102,0,100.45216239248514,13.866295594288593,0,0,0,0
685.0,685.0,0,103,0,100.45216580374996,13.86634058603633,0,0,0,0
691.0,691.0,0,104,0,100.45216511720781,13.86638577311143,0,0,0,0
698.0,698.0,0,105,0,100.45216475144535,13.866430963612766,0,0,0,0
705.0,705.0,0,106,0,100.45216532091868,13.866476152444609,0,0,0,0
711.0,711.0,0,107,0,100.45216577702834,13.866521342703388,0,0,0,0
718.0,718.0,0,108,0,100.45216655324882,13.866566528070475,0,0,0,0
724.0,724.0,0,109,0,100.45216887212946,13.866611660991403,0,0,0,0
731.0,731.0,0,110,0,100.45217319453923,13.866656650611464,0,0,0,0
738.0,738.0,0,111,0,100.45218056405473,13.86670125356924,0,0,0,0
744.0,744.0,0,112,0,100.45219238324955,13.866744919105006,0,0,0,0
751.0,751.0,0,113,0,100.45221018743865,13.86678657833717,0,0,0,0
758.0,758.0,0,114,0,100.45223489955383,13.866824722155307,0,0,0,0
764.0,764.0,0,115,0,100.4522648388325,13.866859140222003,0,0,0,0
771.0,771.0,0,116,0,100.45229695823743,13.866891659154678,0,0,0,0
778.0,778.0,0,117,0,100.4523293012652,13.866923966935472,0,0,0,0
784.0,784.0,0,118,0,100.45236125849232,13.866956639350919,0,0,0,0
791.0,791.0,0,119,0,100.4523926537541,13.866989826546213,0,0,0,0
798.0,798.0,0,120,0,100.45242333452602,13.867023646457062,0,0,0,0
804.0,804.0,0,121,0,100.45245392890425,13.867057541290878,0,0,0,0
811.0,811.0,0,122,0,100.45248523247913,13.86709080992892,0,0,0,0
818.0,818.0,0,123,0,100.45251781983411,13.86712287785973,0,0,0,0
824.0,824.0,0,124,0,100.45255189157368,13.86715343642762,0,0,0,0
831.0,831.0,0,125,0,100.45258737563961,13.86718242166492,0,0,0,0
837.0,837.0,0,126,0,100.45262394969004,13.8672100858309,0,0,0,0
844.0,844.0,0,127,0,100.45266095056142,13.867237205431946,0,0,0,0
851.0,851.0,0,128,0,100.45269751991427,13.867264877864066,0,0,0,0
857.0,857.0,0,129,0,100.45273398597578,13.867292679603691,0,0,0,0
864.0,864.0,0,130,0,100.45277103622776,13.867319734533082,0,0,0,0
871.0,871.0,0,131,0,100.45280825996592,13.86734656189192,0,0,0,0
877.0,877.0,0,132,0,100.45284505621709,13.867373944608781,0,0,0,0
884.0,884.0,0,133,0,100.45288097903747,13.867402411426708,0,0,0,0
891.0,891.0,0,134,0,100.45291589274336,13.867432051911543,0,0,0,0
897.0,897.0,0,135,0,100.4529495410248,13.867463056793207,0,0,0,0
904.0,904.0,0,136,0,100.45298192531891,13.867495322010011,0,0,0,0
911.0,911.0,0,137,0,100.45301329156524,13.867528535565414,0,0,0,0
917.0,917.0,0,138,0,100.45304421789268,13.867562141847408,0,0,0,0
924.0,924.0,0,139,0,100.45307542782804,13.867595495810141,0,0,0,0
930.0,930.0,0,140,0,100.45310768434379,13.867627882952682,0,0,0,0
937.0,937.0,0,141,0,100.45314088899633,13.867659345225706,0,0,0,0
944.0,944.0,0,142,0,100.45317413305126,13.867690768238425,0,0,0,0
950.0,950.0,0,143,0,100.45320712292467,13.867722445877973,0,0,0,0
957.0,957.0,0,144,0,100.45323993241983,13.867754302010695,0,0,0,0
964.0,964.0,0,145,0,100.45327272337266,13.8677861763736,0,0,0,0
970.0,970.0,0,146,0,100.45330560052334,13.867817965827312,0,0,0,0
977.0,977.0,0,147,0,100.45333867818873,13.867849556017385,0,0,0,0
984.0,984.0,0,148,0,100.4533719313036,13.867880970036662,0,0,0,0
990.0,990.0,0,149,0,100.45340495607299,13.867912612372232,0,0,0,0
997.0,997.0,0,150,0,100.45343670663584,13.867945468864058,0,0,0,0
1004.0,1004.0,0,151,0,100.45346667512534,13.867979888482283,0,0,0,0
1010.0,1010.0,0,152,0,100.45349578072755,13.868015012754164,0,0,0,0
1017.0,1017.0,0,153,0,100.45352458289479,13.868050374930071,0,0,0,0
1024.0,1024.0,0,154,0,100.45355315028358,13.868085918600551,0,0,0,0
1030.0,1030.0,0,155,0,100.45358178326455,13.868121411784573,0,0,0,0
1037.0,1037.0,0,156,0,100.45361068610222,13.868156695480533,0,0,0,0
1043.0,1043.0,0,157,0,100.45363982970488,13.868191789783504,0,0,0,0
1050.0,1050.0,0,158,0,100.4536690104657,13.86822685461545,0,0,0,0
